,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
696,068815252X,Book,Whoopi Goldberg,1997,William Morrow & Company,Humor,"Hey. Hey, you. Yeah, you. The one with the keyboard. Im so glad you clicked on my book. I wrote it so youd read it. Now, heres where Im supposed to say all kinds of hip, Whoopi-esque stuff to get you to buy it. Clicking on it is just the first step. Buying itthats a whole other contract. So this is when we seal the deal, when I tell you, in my own inimitable way, how uproarious and provocative this book is, how out there, and cutting edge, and whatever else I can think to throw into the mix. Or, I could say things like, Not since War and Peace... or Move over, Alice Walker... or This book does for the written word what Pat Boone did for heavy metal.... Well, come on now. Lets face it, if this book were all those things, itd be a novel, and I wouldnt resort to such low tactics. Youd just buy it and move on, or wait for someone to turn it into a movie. So Ill give it to you straight. This book doesnt suck. Itll make you laughmaybe not out loud, but in that place deep down where you know a good joke when you hear one. Itll make you thinkalso not out loud, because, you know, thatd be a little strange. Hell, it might even get you to reconsider a few things, and consider a few others for the first time. You can take this book to bed, or to the beach, and it wont ask you to swallow, or rub lotion on its back. It doesnt cost a whole lot of money. And (best of all!) its collectible. Buy a fewone to read and a couple more to set aside for your retirement, cause these suckers are gonna go up in value like nobodys business. Trust me on this. One to read, and a couple more to set aside. You wont be sorry. And neither will I."
697,0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,Fiction,"An ambitious and dedicated Chinese doctor, Lin Kong finds himself torn between two very different women--the educated and dynamic nurse with whom he has fallen in love and the traditional, meek, and humble woman to whom his family married him when they were both very young. National Book Award &amp; Pen/Faulkner Award Winner. Reprint. 125,000 first printing."
698,0553274503,Flowers for Algernon (Bantam Classic),DANIEL KEYES,1984,Bantam,,
699,0413537900,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,1982,Methuen Publishing Ltd,,
700,0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,Intelligence service,An Israeli nuclear warhead is missing. Thebalance of world power is about to changeforever...
701,0743469801,Why Girls Are Weird : A Novel,Pamela Ribon,2003,Downtown Press,,
702,0425173755,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2000,Berkley Publishing Group,Fiction,"En route to Paris, Belgian detective Hercule Poirot has booked winter passage on the fabled Orient Express. Among the curious assortment of passengers, a wealthy American is found dead in a night compartment. By dawn, 13 travelers, each with secrets, will find themselves suspect in the most ingenious crime Poirot has ever solved."
703,0671822209,WLD ACCORDNG GARP,John Irving,1979,Pocket,American fiction,"This is the life and times of T. S. Garp, the bastard son of Jenny Fields, a feminist leader ahead of her time. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes, even of sexual assassinations. It is a novel rich with lunacy and sorrow, yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries-with more than ten million copies in print-this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases."""
704,0425194493,Flashback,Nevada Barr,2004,Berkley Publishing Group,Fiction,"Taking a temporary post as ranger in Dry Tortugas National Park to escape dealing with a marriage proposal, Anna Pigeon investigates a mysterious boating accident that leads her to uncover sinister local crimes from the past."
705,0671722816,Othello,William Shakespeare,1993,Washington Square Press,Drama,The full text of Shakespeare's 'Othello'.
706,0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books,Fiction,"A compelling thriller of wintery chills, set in the Arctic icefields"
707,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,Fiction,The discovery of the decomposed body of a stowaway aboard a cargo ship leads Chief Medical Examiner Kay Scarpetta to a perilous international odyssey on a mission that could destroy her career and threatens her own life.
708,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,Fiction,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car drove up their street. One boy got in the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con. And Dave is trying to hold his marriage together and keep his demons at bay-demons that urge him to do horrific things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into serious conflict with Jimmy. And then there is Dave, who came home covered in someone else's blood the night Jimmy's daughter died. While Sean attempts to use the law to return peace and order to the neighborhood, Jimmy finds his need for vengeance pushing him ever closer to a moral abyss from which he won't be able to return. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love, loyalty, faith, and family."
709,0425185702,McNally's Chance,Lawrence Sanders,2002,Berkley Publishing Group,Fiction,"Palm Springs sleuth Archy McNally becomes caught up in a confusing web of paternity, blackmail, and murder when he is hired by best-selling author Sabrina Wright to find her missing husband, who vanished while searching for Sabrina's runaway daughter, but the case soon becomes complicated by the murder of his client. Reprint."
710,0684862719,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon & Schuster,Fiction,"THE MIRACLE OF INNOCENCE The story of how a boy who believed in the goodness of human nature set out to change the world. Pay It Forward is a wondrous and moving novel about Trevor McKinney, a twelve-year-old boy in a small California town who accepts the challenge that his teacher gives his class, a chance to earn extra credit by coming up with a plan to change the world for the better -- and to put that plan into action. The idea that Trevor comes up with is so simple and so naïve that when others learn of it they are dismissive. Even Trevor himself begins to doubt when his ""pay it forward"" plan seems to founder on a combination of bad luck and the worst of human nature. What is his idea? Trevor chooses three people for whom he will do a favor, and then when those people thank him and ask how they might pay him back, he will tell them that instead of paying him back, they should each ""pay it forward"" by choosing three people for whom they can do favors, and in turn telling those people to pay it forward. It's nothing less than a human chain letter of kindness and good will. Does his plan work? No. And yes -- it works wonderfully, but only after it has seemed to Trevor that maybe all his efforts have been for naught. The first person he chooses to help -- a homeless man to whom he gives his paper-route money so he can make himself presentable enough to find a job -- disappoints him by returning to a life of dissolution and eventually ending up in jail. The second is a lady on his paper route, old and alone and infirm, and with a garden that needs tending. No sooner has Trevor begun to help her, however, than she goes and dies on him. The third person Trevor hopes to help is his teacher, Reuben St. Clair, a scarred, bitter, untrusting man who seems to come truly alive only when in front of his class. Trevor's goal is to match him with his mother, Arlene, a pretty, hardworking woman who has raised Trevor more or less alone, but who Trevor feels has a lot to offer the right man. It proves not to be a match made in heaven, though, and Trevor's dismay only deepens as he watches these two people come so close to achieving the connection he wants for them, only to turn away at the last moment. Failure seems inevitable, and Trevor is resigned. What he doesn't realize, however, is that there really is a good side to human nature, and that the tiny seed of kindness and caring he planted has taken root. In neighborhoods in other California towns, and as far away as Los Angeles, there are others following the rules of ""paying it forward."" Soon fame comes knocking, bringing with it excitement and an unforeseen tragedy. In the end, Pay It Forward is the story of seemingly ordinary people made extraordinary by the simple faith of a child. In the tradition of the successful and inspirational television show Touched by an Angel, and the phenomenally successful novel and film Forrest Gump, Pay It Forward is a work of charm, wit, and remarkable inspiration, a story of hope for today and for many tomorrows to come."
711,0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,Fiction,"Forensic psychologist-turned-sleuth Alex Delaware searches for a cold-blooded psychotic responsible for the brutal murders of a painter, a ballet dancer, a blues musician, a punk rock singer, and a concert pianist."
712,0345452534,The Murder Book,JONATHAN KELLERMAN,2002,Ballantine Books,Fiction,"When Los Angeles psychologist and sleuth Alex Delaware becomes embroiled in a long-unsolved case of brutal murder, he finds his own life and that of his longtime friend, homicide detective Milo Sturgis, at stake."
713,0316602051,The Jester,James Patterson,2003,"Little, Brown",Fiction,"Returning home from the Crusades, Hugh discovers that his wife has been abducted by relic-seeking knights, prompting him to pose as a court jester in order to infiltrate the castle where his wife is imprisoned."
714,0440221420,No Witnesses: A Novel,Ridley Pearson,1996,Island,Fiction,A Seattle cop goes against a maniacal serial killer.
715,0451197879,Roadwork,Richard Bachman,1999,Signet Book,Fiction,"When a highway project leaves him unemployed and threatens to destroy his home, one man takes on the forces of progress as he embarks on a vengeful showdown of epic proportions. Reissue."
